K,fold,rseed,eta,auc_train,auc_test,auc_cond_train,auc_cond_test,opt_func_train,opt_func_test,max_it
3,0,623,0.34450780895354066,0.7357956061904156,0.6431951069025217,0.8644220192265917,0.7730123610462685,-18834.94381488201,-3438.707471119684,1000
3,1,623,0.34969550348108364,0.706802046864056,0.6064551644130902,0.8603468628767448,0.7346084232804233,-18875.0841499074,-3450.015939354893,651
3,2,623,0.3599626759523616,0.7060443755969068,0.5882220201581183,0.8601274876998479,0.7160829809919951,-18777.639870169412,-3480.266685876016,471
3,3,623,0.3563177533646485,0.7075971592020338,0.5894315176609548,0.860625257711535,0.732398520174079,-18725.337471532228,-3544.56033815658,521
3,4,623,0.35199272216813915,0.731800436164251,0.6443309676975304,0.8652655318514253,0.7729335828495194,-19055.316878897367,-3327.6275534005563,1000
